CIA - The World Factbook --  Imports - partners   

| Rank | country | (%) | Date of Information |
| 553 | Rwanda | 7.20 | 2012 |
| 554 | Iceland | 7.20 | 2012 |
| 555 | Cote d'Ivoire | 7.20 | 2012 |
| 556 | Montenegro | 7.10 | 2012 est. |
| 557 | Somalia | 7.10 | 2012 |
| 558 | Solomon Islands | 7.10 | 2012 |
| 559 | Philippines | 7.10 | 2012 |
| 560 | Cyprus | 7.10 | 2012 |
| 561 | Cambodia | 7.10 | 2012 |
| 562 | Angola | 7.10 | 2012 |
| 563 | Hungary | 7.10 | 2012 |
| 564 | Georgia | 7.00 | 2013 est. |
| 565 | Bermuda | 7.00 | 2012 |
| 566 | Georgia | 7.00 | 2013 est. |
| 567 | Cabo Verde | 7.00 | 2012 |
| 568 | Haiti | 7.00 | 2012 |
| 569 | Sri Lanka | 7.00 | 2012 |
| 570 | El Salvador | 7.00 | 2012 |
| 571 | Ghana | 7.00 | 2012 |
| 572 | Saint Kitts and Nevis | 7.00 | 2012 |
| 573 | Moldova | 6.90 | 2012 est. |
| 574 | Morocco | 6.90 | 2012 |
| 575 | Congo, Democratic Republic of the | 6.90 | 2012 |
| 576 | Kuwait | 6.90 | 2013 est. |
| 577 | Kenya | 6.90 | 2012 |
| 578 | Hong Kong | 6.80 | 2012 est. |
| 579 | India | 6.80 | 2012 |
| 580 | Morocco | 6.80 | 2012 |
| 581 | Bahamas, The | 6.80 | 2012 |
| 582 | Turkmenistan | 6.80 | 2012 |
| 583 | Syria | 6.80 | 2012 |
| 584 | Slovakia | 6.80 | 2012 |
| 585 | Singapore | 6.80 | 2012 |
| 586 | Sierra Leone | 6.70 | 2012 |
| 587 | Sierra Leone | 6.70 | 2012 |
| 588 | Somalia | 6.70 | 2012 |
| 589 | Spain | 6.70 | 2012 |
| 590 | Sudan | 6.70 | 2012 |
| 591 | Suriname | 6.70 | 2012 |
| 592 | United Kingdom | 6.70 | 2012 |
