CIA - The World Factbook --  Dependency ratios   

| Rank | country | Dependency ratios | Date of Information |
| 361 | Aruba | 27.10 | 2014 est. |
| 362 | Sweden | 27.10 | 2014 est. |
| 363 | Montenegro | 27.10 | 2014 est. |
| 364 | Mauritius | 27.10 | 2014 est. |
| 365 | Spain | 27.10 | 2014 est. |
| 366 | Denmark | 27.10 | 2014 est. |
| 367 | Georgia | 27.00 | 2014 est. |
| 368 | Virgin Islands | 26.90 | 2014 est. |
| 369 | Netherlands | 26.80 | 2014 est. |
| 370 | Barbados | 26.80 | 2014 est. |
| 371 | Switzerland | 26.70 | 2014 est. |
| 372 | Macau | 26.60 | 2014 est. |
| 373 | Belgium | 26.40 | 2014 est. |
| 374 | Western Sahara | 26.10 | 2014 est. |
| 375 | Netherlands | 25.90 | 2014 est. |
| 376 | Finland | 25.80 | 2014 est. |
| 377 | Slovenia | 25.70 | 2014 est. |
| 378 | Luxembourg | 25.60 | 2014 est. |
| 379 | Hungary | 25.60 | 2014 est. |
| 380 | Czech Republic | 25.40 | 2014 est. |
| 381 | Oman | 25.40 | 2014 est. |
| 382 | China | 24.90 | 2014 est. |
| 383 | Malta | 24.80 | 2014 est. |
| 384 | Norway | 24.70 | 2014 est. |
| 385 | Thailand | 24.70 | 2014 est. |
| 386 | Jersey | 24.70 | 2014 est. |
| 387 | Guernsey | 24.70 | 2014 est. |
| 388 | Estonia | 24.30 | 2014 est. |
| 389 | Canada | 24.20 | 2014 est. |
| 390 | Cyprus | 23.70 | 2014 est. |
| 391 | Eritrea | 23.70 | 2014 est. |
| 392 | Saudi Arabia | 23.50 | 2014 est. |
| 393 | Macedonia | 23.40 | 2014 est. |
| 394 | Moldova | 23.20 | 2014 est. |
| 395 | Serbia | 23.20 | 2014 est. |
| 396 | Spain | 23.20 | 2014 est. |
| 397 | Canada | 22.90 | 2014 est. |
| 398 | Latvia | 22.90 | 2014 est. |
| 399 | Russia | 22.80 | 2014 est. |
| 400 | Rwanda | 22.80 | 2014 est. |
| 401 | Lithuania | 22.70 | 2014 est. |
| 402 | Bosnia and Herzegovina | 22.70 | 2014 est. |
| 403 | Cuba | 22.60 | 2014 est. |
| 404 | Greece | 22.40 | 2014 est. |
| 405 | Czech Republic | 22.40 | 2014 est. |
| 406 | Burundi | 22.20 | 2014 est. |
| 407 | Australia | 22.10 | 2014 est. |
| 408 | Uruguay | 22.10 | 2014 est. |
| 409 | Portugal | 22.10 | 2014 est. |
| 410 | Lithuania | 22.10 | 2014 est. |
| 411 | Bosnia and Herzegovina | 22.00 | 2014 est. |
| 412 | Belarus | 22.00 | 2014 est. |
| 413 | Gambia, The | 22.00 | 2014 est. |
| 414 | Croatia | 22.00 | 2014 est. |
| 415 | Romania | 21.90 | 2014 est. |
| 416 | Italy | 21.80 | 2014 est. |
| 417 | New Zealand | 21.80 | 2014 est. |
| 418 | Switzerland | 21.80 | 2014 est. |
| 419 | Hungary | 21.70 | 2014 est. |
| 420 | Georgia | 21.70 | 2014 est. |
| 421 | Guernsey | 21.70 | 2014 est. |
| 422 | Romania | 21.70 | 2014 est. |
