CIA - The World Factbook --  Airports - with unpaved runways   

| Rank | country | Airports - with unpaved runways | Date of Information |
| 409 | China | 6.00 | 2013 |
| 410 | Central African Republic | 6.00 | 2013 |
| 411 | Croatia | 6.00 | 2013 |
| 412 | India | 6.00 | 2013 |
| 413 | Cote d'Ivoire | 6.00 | 2013 |
| 414 | Iraq | 6.00 | 2013 |
| 415 | Malaysia | 6.00 | 2013 |
| 416 | Netherlands | 6.00 | 2013 |
| 417 | Norway | 6.00 | 2013 |
| 418 | Nepal | 6.00 | 2013 |
| 419 | Guinea-Bissau | 6.00 | 2013 |
| 420 | Somalia | 6.00 | 2013 |
| 421 | Togo | 6.00 | 2013 |
| 422 | United Arab Emirates | 6.00 | 2013 |
| 423 | Antarctica | 5.00 | 2013 |
| 424 | Zambia | 5.00 | 2013 |
| 425 | Bosnia and Herzegovina | 5.00 | 2013 |
| 426 | Benin | 5.00 | 2013 |
| 427 | Chile | 5.00 | 2013 |
| 428 | Denmark | 5.00 | 2013 |
| 429 | Estonia | 5.00 | 2013 |
| 430 | Eritrea | 5.00 | 2013 |
| 431 | Fiji | 5.00 | 2013 |
| 432 | Falkland Islands (Islas Malvinas) | 5.00 | 2013 |
| 433 | Falkland Islands (Islas Malvinas) | 5.00 | 2013 |
| 434 | French Polynesia | 5.00 | 2013 |
| 435 | Greenland | 5.00 | 2013 |
| 436 | Iraq | 5.00 | 2013 |
| 437 | Japan | 5.00 | 2013 |
| 438 | Kiribati | 5.00 | 2013 |
| 439 | Kazakhstan | 5.00 | 2013 |
| 440 | Kazakhstan | 5.00 | 2013 |
| 441 | Liberia | 5.00 | 2013 |
| 442 | Slovakia | 5.00 | 2013 |
| 443 | Lesotho | 5.00 | 2013 |
| 444 | Libya | 5.00 | 2013 |
| 445 | Mali | 5.00 | 2013 |
| 446 | Morocco | 5.00 | 2013 |
| 447 | New Caledonia | 5.00 | 2013 |
| 448 | Serbia | 5.00 | 2013 |
| 449 | Romania | 5.00 | 2013 |
| 450 | Seychelles | 5.00 | 2013 |
| 451 | Slovenia | 5.00 | 2013 |
| 452 | Somalia | 5.00 | 2013 |
| 453 | Sweden | 5.00 | 2013 |
| 454 | Tajikistan | 5.00 | 2013 |
| 455 | Tonga | 5.00 | 2013 |
| 456 | Tunisia | 5.00 | 2013 |
| 457 | Turkmenistan | 5.00 | 2013 |
| 458 | Ukraine | 5.00 | 2013 |
| 459 | Ukraine | 5.00 | 2013 |
| 460 | Burkina Faso | 5.00 | 2013 |
| 461 | Swaziland | 5.00 | 2013 |
| 462 | Yemen | 5.00 | 2013 |
| 463 | Botswana | 5.00 | 2013 |
| 464 | United Arab Emirates | 4.00 | 2013 |
| 465 | Turkmenistan | 4.00 | 2013 |
| 466 | Bahamas, The | 4.00 | 2013 |
| 467 | Bolivia | 4.00 | 2013 |
| 468 | Burma | 4.00 | 2013 |
| 469 | Burundi | 4.00 | 2013 |
| 470 | Sri Lanka | 4.00 | 2013 |
| 471 | China | 4.00 | 2013 |
| 472 | Cameroon | 4.00 | 2013 |
| 473 | Egypt | 4.00 | 2013 |
| 474 | French Polynesia | 4.00 | 2013 |
| 475 | Georgia | 4.00 | 2013 |
| 476 | Indonesia | 4.00 | 2013 |
| 477 | Netherlands | 4.00 | 2013 |
| 478 | Suriname | 4.00 | 2013 |
| 479 | Russia | 4.00 | 2013 |
| 480 | Togo | 4.00 | 2013 |
| 481 | Timor-Leste | 4.00 | 2013 |
| 482 | Turkey | 4.00 | 2013 |
| 483 | Afghanistan | 4.00 | 2013 |
| 484 | Angola | 3.00 | 2013 |
| 485 | Zimbabwe | 3.00 | 2013 |
| 486 | Antarctica | 3.00 | 2013 |
| 487 | Sri Lanka | 3.00 | 2013 |
| 488 | Egypt | 3.00 | 2013 |
| 489 | Egypt | 3.00 | 2013 |
| 490 | Estonia | 3.00 | 2013 |
| 491 | Ethiopia | 3.00 | 2013 |
| 492 | Finland | 3.00 | 2013 |
| 493 | Ghana | 3.00 | 2013 |
| 494 | Ghana | 3.00 | 2013 |
| 495 | Guinea | 3.00 | 2013 |
| 496 | Iceland | 3.00 | 2013 |
| 497 | India | 3.00 | 2013 |
| 498 | Israel | 3.00 | 2013 |
| 499 | Cote d'Ivoire | 3.00 | 2013 |
| 500 | Iraq | 3.00 | 2013 |
| 501 | Iraq | 3.00 | 2013 |
| 502 | Korea, North | 3.00 | 2013 |
| 503 | Kuwait | 3.00 | 2013 |
| 504 | Kosovo | 3.00 | 2013 |
| 505 | Kosovo | 3.00 | 2013 |
| 506 | Kazakhstan | 3.00 | 2013 |
| 507 | Lebanon | 3.00 | 2013 |
| 508 | Mali | 3.00 | 2013 |
| 509 | Mauritius | 3.00 | 2013 |
| 510 | Niger | 3.00 | 2013 |
| 511 | Nigeria | 3.00 | 2013 |
| 512 | New Zealand | 3.00 | 2013 |
| 513 | Guinea-Bissau | 3.00 | 2013 |
| 514 | Philippines | 3.00 | 2013 |
| 515 | Rwanda | 3.00 | 2013 |
| 516 | Senegal | 3.00 | 2013 |
| 517 | Slovenia | 3.00 | 2013 |
| 518 | Svalbard | 3.00 | 2013 |
| 519 | Svalbard | 3.00 | 2013 |
| 520 | Tonga | 3.00 | 2013 |
| 521 | United Kingdom | 3.00 | 2013 |
| 522 | Burkina Faso | 3.00 | 2013 |
| 523 | Uruguay | 3.00 | 2013 |
| 524 | Venezuela | 3.00 | 2013 |
| 525 | Vietnam | 3.00 | 2013 |
| 526 | Vietnam | 3.00 | 2013 |
| 527 | Western Sahara | 3.00 | 2013 |
| 528 | Samoa | 3.00 | 2013 |
| 529 | Samoa | 3.00 | 2013 |
| 530 | Yemen | 3.00 | 2013 |
| 531 | Austria | 3.00 | 2013 |
| 532 | British Virgin Islands | 2.00 | 2013 |
| 533 | Algeria | 2.00 | 2013 |
| 534 | Angola | 2.00 | 2013 |
| 535 | Bangladesh | 2.00 | 2013 |
| 536 | Benin | 2.00 | 2013 |
| 537 | Benin | 2.00 | 2013 |
| 538 | Belarus | 2.00 | 2013 |
| 539 | Bulgaria | 2.00 | 2013 |
| 540 | Burundi | 2.00 | 2013 |
| 541 | Cambodia | 2.00 | 2013 |
| 542 | Chad | 2.00 | 2013 |
| 543 | Congo, Republic of the | 2.00 | 2013 |
| 544 | Northern Mariana Islands | 2.00 | 2013 |
| 545 | Cook Islands | 2.00 | 2013 |
| 546 | Cyprus | 2.00 | 2013 |
| 547 | Cyprus | 2.00 | 2013 |
| 548 | Djibouti | 2.00 | 2013 |
| 549 | Ireland | 2.00 | 2013 |
| 550 | Eritrea | 2.00 | 2013 |
| 551 | Georgia | 2.00 | 2013 |
| 552 | Greenland | 2.00 | 2013 |
| 553 | Greenland | 2.00 | 2013 |
| 554 | Greece | 2.00 | 2013 |
| 555 | Guatemala | 2.00 | 2013 |
| 556 | Guinea | 2.00 | 2013 |
| 557 | Haiti | 2.00 | 2013 |
| 558 | Hungary | 2.00 | 2013 |
| 559 | Iran | 2.00 | 2013 |
| 560 | Jordan | 2.00 | 2013 |
| 561 | Jordan | 2.00 | 2013 |
| 562 | Korea, South | 2.00 | 2013 |
| 563 | Kuwait | 2.00 | 2013 |
| 564 | Laos | 2.00 | 2013 |
| 565 | Lebanon | 2.00 | 2013 |
| 566 | Lithuania | 2.00 | 2013 |
| 567 | Libya | 2.00 | 2013 |
| 568 | Moldova | 2.00 | 2013 |
| 569 | Mongolia | 2.00 | 2013 |
| 570 | Mongolia | 2.00 | 2013 |
| 571 | Macedonia | 2.00 | 2013 |
| 572 | Mauritius | 2.00 | 2013 |
| 573 | Mauritania | 2.00 | 2013 |
| 574 | Oman | 2.00 | 2013 |
| 575 | Maldives | 2.00 | 2013 |
| 576 | Maldives | 2.00 | 2013 |
| 577 | Niger | 2.00 | 2013 |
| 578 | Nigeria | 2.00 | 2013 |
| 579 | Netherlands | 2.00 | 2013 |
| 580 | Palau | 2.00 | 2013 |
| 581 | Palau | 2.00 | 2013 |
| 582 | Guinea-Bissau | 2.00 | 2013 |
| 583 | Qatar | 2.00 | 2013 |
| 584 | Rwanda | 2.00 | 2013 |
| 585 | Seychelles | 2.00 | 2013 |
| 586 | Spain | 2.00 | 2013 |
| 587 | Trinidad and Tobago | 2.00 | 2013 |
| 588 | Turks and Caicos Islands | 2.00 | 2013 |
| 589 | Turks and Caicos Islands | 2.00 | 2013 |
| 590 | Togo | 2.00 | 2013 |
| 591 | Timor-Leste | 2.00 | 2013 |
| 592 | Timor-Leste | 2.00 | 2013 |
| 593 | Turkey | 2.00 | 2013 |
| 594 | Taiwan | 2.00 | 2013 |
| 595 | Uzbekistan | 2.00 | 2013 |
| 596 | British Virgin Islands | 2.00 | 2013 |
| 597 | Taiwan | 1.00 | 2013 |
| 598 | Turkmenistan | 1.00 | 2013 |
| 599 | Tanzania | 1.00 | 2013 |
| 600 | Uganda | 1.00 | 2013 |
| 601 | United States | 1.00 | 2013 |
